model,sample_size,resample,epochs,lr,batch_size,threshold,anger_accuracy,anger_macro_f1,fear_accuracy,fear_macro_f1,sadness_accuracy,sadness_macro_f1,disgust_accuracy,disgust_macro_f1,joy_accuracy,joy_macro_f1,anger-disgust_accuracy,anger-disgust_macro_f1
muse,1.0,0,12,5e-05,4,0.5,0.6111744583808438,0.3793347487615003,0.8038768529076397,0.445638432364096,0.5906499429874572,0.3713261648745519,0.8027366020524516,0.4452877925363694,0.7434435575826682,0.4264224983649444,0.5758266818700114,0.3654124457308249
muse,1.0,1,12,5e-05,4,0.5,0.7639680729760547,0.7631353361385655,0.6944127708095781,0.6233204266885481,0.6807297605473204,0.6783775854481444,0.6704675028506272,0.6234144442512879,0.8335233751425314,0.7878272685093126,0.7525655644241733,0.751996768161175
muse,1.0,0,14,5e-05,4,0.5,0.6237172177879133,0.3869782929185095,0.8107183580387686,0.4477329974811083,0.6066134549600912,0.3775727466288147,0.8015963511972634,0.4449367088607595,0.7366020524515393,0.4241628365068943,0.5826681870011402,0.3681556195965417
muse,1.0,1,14,5e-05,4,0.5,0.7651083238312428,0.7630873574553352,0.7103762827822121,0.645574252510724,0.6944127708095781,0.6860661430784848,0.6887115165336374,0.6409020756559262,0.8346636259977195,0.7923202675755701,0.7183580387685291,0.7181102813054279
muse,1.0,0,16,5e-05,4,0.5,0.6168757126567845,0.3815232722143865,0.8118586088939567,0.448080553807426,0.621436716077537,0.3832630098452883,0.7924743443557583,0.4421119592875318,0.7297605473204105,0.4218852999340804,0.5826681870011402,0.3731799718793938
muse,1.0,1,16,5e-05,4,0.5,0.7457240592930444,0.7441861073505078,0.7206385404789054,0.6560668705950901,0.685290763968073,0.679183764354105,0.685290763968073,0.6379935391241924,0.8392246294184721,0.8000969955624531,0.750285062713797,0.7502733739612766
muse,1.0,0,18,5e-05,4,0.5,0.6168757126567845,0.3870704717530576,0.8164196123147093,0.4494664155681104,0.6168757126567845,0.3815232722143865,0.7696693272519954,0.4349226804123711,0.7229190421892816,0.4195896757114494,0.6054732041049031,0.3953411445879164
muse,1.0,1,18,5e-05,4,0.5,0.7309007981755986,0.7269873262771334,0.7160775370581528,0.64243644848336,0.7160775370581528,0.7090815351843045,0.7069555302166477,0.6599713662003491,0.8563283922462942,0.8197663039223362,0.7616875712656784,0.7611907823678323
muse,1.0,0,20,5e-05,4,0.5,0.6180159635119726,0.3875251467108623,0.8187001140250855,0.4501567398119122,0.6396807297605474,0.390125173852573,0.7970353477765109,0.4435279187817258,0.7480045610034207,0.4279191128506197,0.5895096921322691,0.3998631386861314
muse,1.0,1,20,5e-05,4,0.5,0.758266818700114,0.7548858303011127,0.7400228050171037,0.6862746328605498,0.7092360319270239,0.6989641734588798,0.6955530216647663,0.6409512930010043,0.830102622576967,0.7837588719379507,0.7719498289623717,0.7714503132459789
